"YEAR","MONTH","AO","date"
2012,5,3.827,2012-05-01
2012,6,2.792,2012-06-01
2012,7,3.013,2012-07-01
2012,8,3.376,2012-08-01
2012,9,4.133,2012-09-01
2012,10,4.955,2012-10-01
2012,11,4.171,2012-11-01
2012,12,4.391,2012-12-01
2013,1,5.638,2013-01-01
2013,2,6.413,2013-02-01
2013,3,6.088,2013-03-01
2013,4,4.559,2013-04-01
2013,5,5.102,2013-05-01
2013,6,5.006,2013-06-01
2013,7,4.55,2013-07-01
2013,8,4.066,2013-08-01
2013,9,4.696,2013-09-01
2013,10,5.209,2013-10-01
2013,11,4.899,2013-11-01
2013,12,5.249,2013-12-01
2014,1,4.718,2014-01-01
2014,2,5.146,2014-02-01
2014,3,4.684,2014-03-01
2014,4,4.421,2014-04-01
2014,5,5.262,2014-05-01
2014,6,5.603,2014-06-01
2014,7,4.043,2014-07-01
2014,8,4.6,2014-08-01
2014,9,4.332,2014-09-01
2014,10,4.585,2014-10-01
2014,11,4.563,2014-11-01
2014,12,5.415,2014-12-01
2015,1,4.584,2015-01-01
2015,2,5.234,2015-02-01
2015,3,5.795,2015-03-01
2015,4,5.481,2015-04-01
2015,5,5.783,2015-05-01
2015,6,4.601,2015-06-01
2015,7,5.033,2015-07-01
2015,8,5.114,2015-08-01
2015,9,5.211,2015-09-01
2015,10,5.222,2015-10-01
2015,11,5.04,2015-11-01
2015,12,5.099,2015-12-01
2016,1,5.573,2016-01-01
2016,2,5.792,2016-02-01
2016,3,6.323,2016-03-01
2016,4,4.263,2016-04-01
2016,5,5.239,2016-05-01
2016,6,5.708,2016-06-01
2016,7,4.984,2016-07-01
2016,8,4.727,2016-08-01
2016,9,4.456,2016-09-01
2016,10,5.065,2016-10-01
2016,11,5.064,2016-11-01
2016,12,4.075,2016-12-01
2017,1,5.991,2017-01-01
2017,2,5.794,2017-02-01
2017,3,5.773,2017-03-01
2017,4,5.685,2017-04-01
2017,5,6.356,2017-05-01
2017,6,6.141,2017-06-01
2017,7,5.064,2017-07-01
2017,8,5.147,2017-08-01
2017,9,5.693,2017-09-01
2017,10,7.396,2017-10-01
2017,11,5.792,2017-11-01
2017,12,5.673,2017-12-01
2018,1,7.079,2018-01-01
2018,2,7.126,2018-02-01
2018,3,7.822,2018-03-01
2018,4,5.495,2018-04-01
2018,5,5.881,2018-05-01
2018,6,6.137,2018-06-01
2018,7,5.069,2018-07-01
2018,8,5.39,2018-08-01
2018,9,5.899,2018-09-01
2018,10,7.352,2018-10-01
2018,11,6.841,2018-11-01
2018,12,5.494,2018-12-01
2019,1,6.064,2019-01-01
2019,2,7.994,2019-02-01
2019,3,6.646,2019-03-01
2019,4,6.988,2019-04-01
2019,5,6.456,2019-05-01
2019,6,7.025,2019-06-01
2019,7,7.026,2019-07-01
2019,8,6.956,2019-08-01
2019,9,7.152,2019-09-01
2019,10,7.857,2019-10-01
2019,11,7.653,2019-11-01
2019,12,7.332,2019-12-01
2020,1,6.921,2020-01-01
2020,2,7.063,2020-02-01
2020,3,7.644,2020-03-01
2020,4,6.982,2020-04-01
2020,5,6.938,2020-05-01
2020,6,6.851,2020-06-01
2020,7,5.777,2020-07-01
2020,8,4.78,2020-08-01
2020,9,5.881,2020-09-01
2020,10,7.362,2020-10-01
2020,11,6.143,2020-11-01
2020,12,5.657,2020-12-01
2021,1,7.482,2021-01-01
2021,2,9.067,2021-02-01
2021,3,8.206,2021-03-01
2021,4,7.674,2021-04-01
2021,5,8.685,2021-05-01
2021,6,7.711,2021-06-01
2021,7,6.761,2021-07-01
2021,8,6.698,2021-08-01
2021,9,8.207,2021-09-01
2021,10,9.721,2021-10-01
2021,11,8.721,2021-11-01
2021,12,8.62,2021-12-01
2022,1,8.838,2022-01-01
2022,2,8.556,2022-02-01
2022,3,7.72,2022-03-01
2022,4,7.39,2022-04-01
2022,5,8.208,2022-05-01
2022,6,8.379,2022-06-01
2022,7,7.574,2022-07-01
2022,8,7.675,2022-08-01
2022,9,7.991,2022-09-01
2022,10,8.341,2022-10-01
2022,11,9.044,2022-11-01
2022,12,8.247,2022-12-01
2023,1,7.803,2023-01-01
2023,2,8.971,2023-02-01
2023,3,8.93,2023-03-01
2023,4,8.365,2023-04-01
2023,5,8.865,2023-05-01
2023,6,8.633,2023-06-01
2023,7,8.086,2023-07-01
2023,8,8.156,2023-08-01
2023,9,8.492,2023-09-01
2023,10,8.888,2023-10-01
2023,11,8.198,2023-11-01
2023,12,7.967,2023-12-01
2024,1,8.171,2024-01-01
2024,2,8.75,2024-02-01
2024,3,9.393,2024-03-01
2024,4,8.448,2024-04-01
2024,5,8.572,2024-05-01
2024,6,7.969,2024-06-01
